"NCE","OGA","OGS","OGN","CNL","AQS","LCP","LCC","LCL","LCI","LATITUDINE","LONGITUDINE","FRF","FRM","FRD","FRBT","FRBI","FRBC","FROP","FROS","FROG","FROO","FRI","FRZS","FRZI","CNTT","CNTE","CNTW","CNTS"
"R20FRB0206","area o parco archeologico","Archeologia","Villaggio Nuragico Sa Mandra e Sa Giua",,"https://catalogo.sardegnacultura.it/search/?searchText=Villaggio Nuragico Sa Mandra e Sa Giua","SS","Ossi",,"Via Tilocca, s.n.c.","40.676920411","8.600443968","chiuso",,"Il villaggio Sa Mandra 'e Sa Giua di Ossi si trova inglobato tra le case nel moderno quartiere di Litterai. Le costruzioni attorno non ne permettono una facile lettura e ne ricordano la sua travagliata storia. Gli scavi hanno restituito una cospicua quantità di bronzi, fondi di fusione in rame, bronzo e ferro, asce a margini rialzati e una figura di Capo Tribù all'interno del nuraghe.",,,,,,,,"Attualmente il sito non è gestito, ma può essere osservato liberamente dall'adiacente viabilità del centro urbano di Ossi.",,,"+39 079 3403119","sindaco@comuneossi.it",,
"R20FRB0207","museo, galleria e/o raccolta","Archeologia","Civico Museo Archeologico Alle Clarisse","https://www.sardegnacultura.it/j/v/258?s=35391&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Civico Museo Archeologico Alle Clarisse","SS","Ozieri",,"Piazza P. Micca, s.n.c.","40.585950038","9.003232234","aperto","a pagamento","Il complesso, costituito dal convento delle Clarisse e dalla chiesa del Rosario, è situato nella zona centrale di Ozieri, nelle vicinanze della Cattedrale. Gli edifici sorgono su un alto bastione fortificato che si affaccia su un'area verde ricca di alberi. Al lato opposto prospettano invece su una stretta viuzza del centro storico.","intero// ridotto// ridotto","euro 5,00// euro 4,00// ","Adulti.// Minori sino ai 12 anni, studenti di ogni ordine e grado, adulti oltre i 60 anni e gruppi oltre 10 persone.// Gruppi organizzati, solo su prenotazione, biglietto unico con prezzo da concordare.","// ","// ","MA-VE// SA-DO","09:00-13:00// 15:00-19:00// 09:00-13:00// 15:00-18:00","L'ingresso è gratuito per i disabili. Per prenotazioni e informazioni puoi telefonare al numero +39 079 7851052 dal lunedì alla domenica negli orari di apertura del museo; in alternativa si può comunicare per fax, sempre al numero +39 079 7851052, o per email all'indirizzo museo.ozieri@tiscali.it. Il Museo rimane chiuso: tutti i lunedì non festivi, e nelle festività del Natale, Capodanno, Pasqua, 1 novembre, 13 novembre, S. Antioco festa del patrono di Ozieri, 8 dicembre Prenotazione: obbligatoria solo per gruppi molto numerosi e scuole, categorie utenti per le quali è anche possibile la contrattazione di un biglietto unico.","accessibilità fisica facilitata per visitatori con esigenze specifiche// audio guide// biblioteca tematica// bookshop// visite guidate","Il Servizio di audioguida, disponibile anche in inglese, tedesco e spagnolo, ha il costo aggiuntivo di euro 1,50 per singolo visitatore. Per i gruppi è prevista una riduzione.","+39 079 7851052// +39 079 7851090// +39 079 787638","museo.ozieri@tiscali.it","http://www.museo.comune.ozieri.ss.it// http://www.welcometozieri.it",
"R20FRB0208","area o parco archeologico","Archeologia","Grotta di San Michele","https://www.sardegnacultura.it/j/v/258?s=21284&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Grotta di San Michele","SS","Ozieri",,"Via San Michele, s.n.c.","40.580887106","9.004165423","aperto","a pagamento","La grotta di S.Michele di Ozieri, nei pressi dell'abitato, sprofonda nel calcare per un'ottantina di metri ed è articolata in sale e cunicoli tappezzati di stalattiti, alimentate da piccole gocce d'acqua. In parte distrutta, fu riutilizzata sia come abitazione, sia come luogo di culto e necropoli, a sepoltura ipogea, scavata nella roccia e destinata a tomba collettiva, detta domus de janas. Da questa grotta prende il nome la cosiddetta cultura di Ozieri o di San Michele del neolitico finale.","intero// ridotto","euro 3,00// euro 2,00","// ","// ","estivo// invernale","MA-DO// MA-DO","10:00-13:00// 15:00-18:00// 10:00-13:00// 14:00-17:00","Informazioni dettagliate sulla fruibilità del sito sono disponibili presso l'ufficio di ricezione della Grotta di San Michele.","visite guidate","La visita guidata è compresa nel prezzo del biglietto.","+39 079 787638","segreteria.istituzione@comune.ozieri.ss.it","http://www.welcometozieri.it",
"R20FRB0209","museo, galleria e/o raccolta","Industriale e/o di impresa","Museo del Molino Galleu","https://www.sardegnacultura.it/j/v/258?s=37915&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo del Molino Galleu","SS","Ozieri",,"Via Sos Ortos, s.n.c.","40.588986002","9.000538155","aperto","a pagamento","Dal 1922 la Ditta Galleu ha iniziato ad occuparsi di molitura di cereali, impiantando un mulino a palmenti azionato a gas-polvere (carbone). Nel 1984 viene costruito il nuovo Molino, ma grazie alla perseveranza, alla ricerca ed alla cura nella raccolta della macchine, utensili ed ogni altro attrezzo che atteneva alla professione di mugnaio, si sono potute conservare quella apparecchiature, strumenti ed attrezzi, che consentono, oggi, di realizzare un museo ricco di storia e tradizioni.",,,,,,"LU-VE","07:30-13:00// 14:30-18:00","Si consiglia di acquisire informazioni su tipologia e importi dei biglietti contattando anticipatamente la struttura. Prenotazione richiesta previa contatto telefonico, o compilando un apposito form nella pagina dedicata al museo, presente nel sito web del Molino Galleu.","visite guidate","E' possibile prenotare le visite guidate telefonicamente o compilando un apposito form presso il sito del Molino Galleu.","+39 079 787188// +39 079 788093 FAX","molinogalleusrl@gmail.com// molinogalleu@libero.it","https://www.galleu.com/il-museo","https://it-it.facebook.com/Molino-Galleu-265867580"
"R20FRB0210","museo, galleria e/o raccolta","Arte","Museo Diocesano d'Arte Sacra","https://www.sardegnacultura.it/j/v/258?s=37330&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Diocesano d'Arte Sacra","SS","Ozieri",,"Via Umberto I, 37","40.584508747","9.002405129","aperto","a pagamento","Il museo si articola in otto sale: il Materiale Lapideo, la Storia, i Paramenti, la Statuaria, la Preghiera, gli Oggetti Preziosi, la Processione, la Quadreria; disposte secondo un ideale itinerario storico, liturgico e devozionale, nel quale la cultura, artistica  e documentale, narra di un percorso di fede lungo quasi un millennio. Il Museo Diocesano ospita due opere del pittore noto come il Maestro di Ozieri: il retablo di Nostra Signora di Loreto, costituito da sette tavole dipinte ad olio.","intero// ridotto","euro 3,00// euro 2,00","Adulti, con visita guidata.// Nuclei famigliari e gruppi oltre 8 persone, con visita guidata.",,,"VE-DO","10:00-13:00// 15:00-18:00","L'ingresso è gratuito per i minori sino ai 12 anni, e per gli adulti oltre i 60 anni. Il museo può aprire anche nei giorni infrasettimanali dal lunedì al giovedì, ma solo su prenotazione e per gruppi oltre 8 persone.","visite guidate",,"+39 079 786093// +39 34715460083// +39 079 787638","museodiocesanozieri@tiscali.it// bbcc.ozieri@tiscali.it// promozione.istituzione@comune.ozieri.ss.it","https://www.diocesiozieri.org/museodiocesanoartesacra// http://www.welcometozieri.it/joomla/musei/museo-diocesano-di-arte-sacra",
"R20FRB0211","museo, galleria e/o raccolta","Arte moderna e contemporanea","Pinacoteca Giuseppe Altana","https://www.sardegnacultura.it/j/v/258?s=37093&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Pinacoteca Giuseppe Altana","SS","Ozieri",,"Via Alcide De Gasperi, 2","40.588031068","9.002038787","aperto","a pagamento","La Pinacoteca Cittadina G. Altana, ospitata nei locali della ex centrale elettrica, è nata per rendere fruibile una selezione dell’imponente collezione d’arte del Comune di Ozieri. La collezione è costituita da un nucleo di opere pittoriche e scultoree, frutto di donazioni effettuate negli anni da persone legate ad Ozieri, tra cui ricordiamo quelle Marras, Tinu e Cocco.","intero// ridotto","euro 3,00// euro 2,00","Adulti.// Minori.",,,"LU-DO",,"La pinacoteca apre esclusivamente su prenotazione.","visite guidate",,"+39 079 787638","segreteria.istituzione@comune.ozieri.ss.it// promozione.istituzione@comune.ozieri.ss.it","http://www.welcometozieri.it/joomla/musei/pinacoteca-cittadina-giuseppe-altana",
"R20FRB0212","monumento o complesso monumentale","Chiesa, edificio o complesso monumentale religioso","Sant'Antioco di Bisarcio","https://www.sardegnacultura.it/j/v/258?s=17851&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Sant'Antioco di Bisarcio","SS","Ozieri",,"SS 597","40.644717636","8.892771753","aperto","a pagamento","Sant'Antioco di Bisarcio è una delle più grandi chiese romaniche dell'isola. La particolare posizione scenografica qualifica il sito tra i più affascinanti dell'intero panorama architettonico sardo. Edificata in conci di pietra vulcanica di cave locali, fu sede cattedrale della diocesi di Bisarcio fino al 1503.","intero// ridotto","euro 3,00// euro 2,00","// ","Novembre-Marzo// Aprile-Ottobre","invernale// estivo","MA-DO// MA-DO","10:00-13:00// 14:00-17:00// 10:00-13:00// 14:30-19:00","Chiusure speciali il1 novembre, 25 e 26 dicembre, 1 e 6 gennaio. L'importo dei biglietti può aver subito variazioni. La fruibilità del sito fa riferimento alla stessa struttura comunale che gestisce la Grotta di San Michele, a Ozieri.","laboratori didattico-educativi// visite guidate","Per i laboratori didattici dedicati alle scuole è necessaria la prenotazione anticipata, presso l'Istituzione San Michele, per definire il programma delle attività e i costi di iscrizione. Le visite guidate sono comprese nel prezzo del biglietto.","+39 079 787638// +39 079 7851052","segreteria.istituzione@comune.ozieri.ss.it// promozione.istituzione@comune.ozieri.ss.it","http://www.welcometozieri.it/joomla/info-e-orari// http://www.bisarcio.comune.ozieri.ss.it",
"R20FRB0213","museo, galleria e/o raccolta","Archeologia","Museo Civico Archeologico","https://www.sardegnacultura.it/j/v/258?s=22526&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Civico Archeologico","SS","Padria",,"Via Nazionale, 3","40.397541888","8.630523572","aperto","a pagamento","L'edificio del Museo Civico Archeologico, ex Monte Granatico, è situato lungo la via principale dell'abitato di Padria, in prossimità dell'antica parrocchia di S. Giulia e del municipio. L'edilizia circostante, esclusa la chiesa, è di tipo tradizionale ad uno o due piani, la facciata principale è orientata verso nord-est. L'impianto è quadrato con muro di spina che sostiene la linea di colmo del tetto.","intero// gratuito","euro 1,00// ","Adulti.// Il biglietto è gratuito per minori sino ai 12 anni e adulti oltre 65 anni.","Maggio-Settembre","estivo","ME-DO","15:30-18:30","Nei mesi da ottobre a aprile Il museo apre solo su prenotazione. Il museo può organizzare saltuariamente mostre espositive temporanee definendone, di volta in volta, modalità di accesso, date e orari.","laboratori didattico-educativi// visite guidate",,"+39 079 807018// +39 340 2836246// +39 347 9384533","sociale@comune.padria.ss.it// loguidea@libero.it","http://www.comune.padria.ss.it/it/Padria/Museo// ",
"R20FRB0214","monumento o complesso monumentale","Architettura fortificata o militare","Fortezza di Militare di Monte Altura",,"https://catalogo.sardegnacultura.it/search/?searchText=Fortezza di Militare di Monte Altura","SS","Palau",,"SS 133, strada per Porto Rafael","41.185211074","9.363028891","aperto","a pagamento","E’ situata su un pendio granitico sovrastante Palau, in splendida posizione prospiciente l’arcipelago della Madalena e la Corsica. Si tratta di uno dei forti edificati nel XIX secolo a protezione della costa settentrionale della Sardegna, area ritenuta di grande rilevanza strategica. Costruita nel 1887-1889 con il granito di monte Altura, si fregiava allora del titolo di fortezza più bella in Europa. Dopo la seconda guerra mondiale, rimase inutilizzata per un lungo periodo.","intero// ridotto// cumulativo intero// cumulativo ridotto// gratuito","euro 5,00// euro 2,50// euro 7,00// euro 4,00// ","Adulti, visita guidata.// Minori dagli 11 ai 17 anni.// Adulti, per Fortezza, Roccia dell'Orso e Museo etnografico.// Minori dagli 11 ai 17 anni, per Fortezza, Roccia dell'Orso e Museo etnografico.// Minori sino a 10 anni.","Settembre-02 Novembre// Luglio-Agosto","// ","LU-DO// LU-DO","09:00-12:00// 15:00-17:00// 09:00-13:00// 16:00-20:00","Per motivi di sicurezza sono permesse solo visite guidate. Dal 16 ottobre al 24 marzo le visite sono possibili solo su prenotazione. Durata della visita: 45 minuti. È possibile contattare anticipatamente la biglietteria della Fortezza di Monte Altura al numero: (+39) 320 3407436.","visite guidate","Le visite guidate partono a scansione oraria, e saranno sempre disponibili in ITA e ENG, salvo rari casi di afflussi eccezionali. Le visite guidate in altre lingue (FRA-DEU-ESP-PYU) saranno fruibili su richiesta anticipata o in base alle disponibilità giornaliere.","+39 3203407436","palau@lugori.com","http://palau.lugori.com/fortezza-di-monte-altura.html","https://www.facebook.com/sardiniatoursardegna"
"R20FRB0215","museo, galleria e/o raccolta","Etnografia e antropologia","Museo Etnografico","https://www.sardegnacultura.it/j/v/258?s=24624&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Etnografico","SS","Palau",,"Via Nazionale, s.n.c.","41.178715705","9.380041979","aperto","a pagamento","Il museo trova in Località Montiggia, articolato in due ampi saloni. E' suddiviso in 6 sezioni tematiche: ambiente domestico, viticoltura e vinicoltura, agricoltura, allevamento, mezzi di trasporto, mestieri. La sezione relativa all'ambiente domestico espone alcuni elementi di arredo, quali scaffali balastragghju, credenze, panche, tavoli e sedie e vari utensili di cucina: tra questi quelli utilizzati per la panificazione: siazzi, siazzatogghj, culiri; e la caseificazione: scudeddhi, fulculi.","intero// ridotto// cumulativo intero// cumulativo ridotto// gratuito","euro 2,50// euro 2,00// euro 7,00// euro 4,00// ","Adulti.// Minori dagli 11 ai 17 anni.// Adulti, per Museo Etnografico, Fortezza di Monte Altura e Roccia dell'Orso.// Minori dagli 11 ai 17 anni, per Museo Etnografico, Fortezza di Monte Altura e Roccia dell'Orso.// Minori sino a 10 anni.","Luglio-Agosto","estivo","LU-DO","10:00-12:00","In tutti gli altri giorni dell'anno è possibile la fruizione della struttura previa prenotazione. Le visite sono esclusivamente guidate da G.T. regolarmente iscritte nel registro regionale, non è ammesso l'accesso ai percorsi in autonomia. L'ultimo percorso guidato parte +/- 60 minuti prima dell'orario di chiusura del sito (salvo eccezioni). Non tutte le aree del percorso sono fruibili da persone con mobilità ridotta.","visite guidate","Le visite guidate saranno sempre disponibili in ITA e ENG, salvo rari casi di afflussi eccezionali. Le visite guidate in altre lingue (FRA-DEU-ESP-PYU) saranno fruibili su richiesta anticipata o in base alle disponibilità giornaliere.","+39 3470913032","palau@lugori.com","http://palau.lugori.com/museo-etnografico.html","https://www.facebook.com/sardiniatoursardegna"
"R20FRB0216","museo, galleria e/o raccolta","Tematico e/o specializzato","CULTER - Museo del Coltello Internazionale","https://www.sardegnacultura.it/j/v/258?s=37916&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=CULTER - Museo del Coltello Internazionale","SS","Pattada",,"Via Vittorio Emanuele, 64","40.581816619","9.110495841","aperto","a pagamento","Museo tematico sulla produzione e la storia del coltello di Pattada.","intero// ridotto","euro 4,00// euro 2,00","Adulti.// Minori dai 6 ai 18 anni, gruppi di oltre 20 persone, adulti oltre 65 anni.","// ","estivo// invernale","LU-SA// LU-SA","09:30-13:00// 16:00-19:30// 09:00-13:00// 16:00-18:00","Sono esenti dal pagamento dei biglietti: disabili, minori sino ai 6 anni e residenti. I prezzi della visita possono subire variazioni sulla base di differenti categorie di utenti.","visite guidate","Le visite guidate, sia per gruppi che scolaresche, devono essere prenotate, e il costo può variare; per maggiori informazioni è possibile contattare la struttura al numero +39 079 755918.","+39 079 755918","info@culterpattada.com","http://www.culterpattada.com/it/museo.aspx",
"R20FRB0217","museo, galleria e/o raccolta","Archeologia","Museo dell'Ossidiana","https://www.sardegnacultura.it/j/v/258?s=19516&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo dell'Ossidiana","OR","Pau",,"Via San Giorgio, 8","39.792753916","8.803149668","aperto","a pagamento","Esposizione di ossidiane e didattica delle tecniche di lavorazione di questo materiale. Il percorso espositivo della struttura museale è organizzato secondo il principio della fruizione diretta e partecipata agli aspetti scientifici naturalistici, tecnologici, sociologici e storici dell'ossidiana, intesi nella loro dimensione più generale ed in quella che attiene più specificamente alle caratteristiche regionali, del Monte Arci e del territorio di Pau.","gratuito// intero// intero// intero// ridotto// ridotto// cumulativo intero// cumulativo ridotto","// euro 6,00// euro 4,00// euro 5,00// euro 5,00// euro 3,00// euro 15,00// euro 10,00","Minori sino ai 6 anni, residenti, accompagnatori classi scolastiche, disabili e accompagnatori.// Adulti, con visita guidata.// Adulti, senza visita guidata.// Adulti e gruppi oltre 10 persone, escursione nel parco dell'ossidiana.// Con visita guidata, per studenti di ogni ordine e grado.// Senza visita guidata, per studenti di ogni ordine e grado e disabili; visitatori provenienti da Barumini, da Tharros o dal Geomuseo di Masullas muniti dei biglietti di uno di questi luoghi della cultura.// Adulti, pacchetto comprendente ingresso al museo più guida, più escursione nel parco dell'ossidiana per gruppi oltre 6 persone.// Studenti di ogni ordine e grado, pacchetto comprendente ingresso più guida più escursione nel parco dell'ossidiana per gruppi oltre 6 persone.","Ottobre-Marzo// Aprile-Settembre","invernale, autunnale// primaverile, estivo","ME-DO// ME-DO","10:00-12:00// 15:00-18:00// 10:00-12:00// 16:00-19:00","Per gruppi oltre 20 persone è possibile concordare visite al Museo anche il Lunedi e il Martedì, previa prenotazione. Il biglietto è gratuito per i minori sino ai 6 anni, per i residenti, per un accompagnatore di un gruppo di almeno 15 paganti, per accompagnatori di classi scolastiche, per i disabili e accompagnatori.","accessibilità fisica facilitata per visitatori con esigenze specifiche// laboratori didattico-educativi// visite guidate","Per prenotazioni e/o informazioni sui servizi si può chiamare ai numeri telefonici della struttura.","+39 0783 934011// +39 0783 934011 FAX","info@museossidiana.it","http://www.museossidiana.it","https://www.facebook.com/MuseoDellOssidiana"
"R20FRB0218","museo, galleria e/o raccolta","Etnografia e antropologia","Museo della Donna","https://www.sardegnacultura.it/j/v/258?s=37947&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo della Donna","SU","Pauli Arbarei",,"Via Roma, 12/ Via Mannu, 3","39.661770922","8.920809429","aperto","a pagamento","Il museo, dislocato in due distinte strutture, ospita nell’ex Monte Granatico una mostra-teatro denominata Femminas, dedicata ai personaggi fantastici nella mitologia femminile in Sardegna. I materiali raccolti dall’attore Gianluca Medas, sono confluiti in un labirinto animato concepito come installazione visivo-sonora, dedicata alle figure femminili nel fantastico della nostra Isola. Nella nuova sezione in via Manno, è esposta una straordinaria collezione etnografica.","intero// ridotto","euro 2,00// euro 1,00","// ","// ","// ","MA-ME// GI-DO","09:30-13:00// 15:30-18:00// 09:30-13:00// 15:30-19:00","Al di fuori degli orari indicati è possibile la fruizione della struttura previa prenotazione telefonica o via e-mail.",,,"+39 070 939039","socioculturale@comune.pauliarbarei.ca.it// museodelladonna@comune.pauliarbarei.su.it","https://www.comune.pauliarbarei.su.it/it/vivere-pauliarbarei/museo-della-donna","https://www.facebook.com/museodelladonnapauliarbarei// https://www.instagram.com/museodelladonna"
"R20FRB0219","museo, galleria e/o raccolta","Etnografia e antropologia","Museo Etnografico Sa Tellaia","https://www.sardegnacultura.it/j/v/258?s=37948&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Etnografico Sa Tellaia","SU","Pauli Arbarei",,"Via Cavour, 19","39.659871549","8.923434500","aperto","a pagamento","Il museo contiene una raccolta etnografica di oggettistica di ambito culturale sardo; oggetti e materiali tipici della cultura contadina e dell’antica cucina sarda.",,,,,,"LU-DO","16:00-21:00","E' possibile informarsi su importi biglietti e altri dettagli sulla fruibilità, telefonicamente o via e-mail, presso il proprietario della struttura.","visite guidate",,"+39 070 939531","giampierocadau@hotmail.it",,"https://it-it.facebook.com/pg/Museo-Etnografico-sa-tellaia-577933202275461/about/?ref=page_internal"
"R20FRB0220","area o parco archeologico","Archeologia","Complesso Nuragico Area di Santa Cristina","https://www.sardegnacultura.it/j/v/258?s=20775&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Complesso Nuragico Area di Santa Cristina","OR","Paulilatino",,"SS 131","40.061226346","8.731650517","aperto","a pagamento","L'area archeologica di Santa Cristina si connota per la presenza di due distinte zone: il complesso nuragico vero e proprio ed il settore in cui si trova la chiesetta dedicata alla Santa, con un agglomerato di basse costruzioni, cumbessias e muristenes, destinate a ospitare i pellegrini. Santa Cristina costituisce una delle più importanti aree sacre della Sardegna nuragica, uno dei più significativi esempi di santuario dedicato al culto delle acque. Il complesso comprende due settori, a NE e a SO. Il nucleo NE comprende il tempio a pozzo, la cosiddetta ""capanna delle riunioni"" con annesso recinto e una serie di altri ambienti. Il tempio a pozzo, orientato N/NO e S/SE, è costituito da un atrio, una scala discendente e una tholos sotterranea che custodisce la vena sorgiva. Ancora oggi dagli interstizi della muratura della camera filtra l'acqua sorgiva, particolarmente abbondante nell'inverno-primavera. Dell'elevato del pozzo residua soltanto il profilo di pianta.","intero// ridotto// ridotto// gratuito","euro 7,00// euro 4,00// euro 3,00// ","Visitatori oltre i 14 anni.// Gruppi oltre 20 persone, dai 14 anni in su.// Minori dai 6 ai 13 anni.// Minori sino ai 5 anni.",,,"LU-DO","08:30 sino ad un'ora prima del tramonto","I biglietti si acquistano esclusivamente nella biglietteria in prossimità del parco, presso il museo Palazzo Atzori, oppure online sul sito web. Il biglietto d′ingresso acquistato presso l'Area Archeologica di Santa Cristina consente anche l'accesso al Museo Etnografico “Palazzo Atzori”.","visite guidate","Si consiglia di telefonare per avere conferma di svolgimento del servizio visite guidate durante la pausa pranzo. La prima visita guidata parte alle 8:30 e a seguire le altre: 9:30 - 10:30 - 11:30 - 12:30 etc. sino al tramonto; nel periodo estivo l’ultima visita guidata parte alle 19:30. Come orario minimo vengono garantite sempre e comunque le visite guidate al mattino e al pomeriggio subito dopo la pausa pranzo.","+39 0785 55438// +39 0785 55438 FAX// +39 3477746747","info@pozzosantacristina.com// archeo.amministrazione@gmail.com","https://pozzosantacristina.com","https://www.facebook.com/pozzosantacristina// https://www.instagram.com/pozzosantacristina"
"R20FRB0221","museo, galleria e/o raccolta","Etnografia e antropologia// Archeologia (?)","Museo Archeologico Etnografico Palazzo Atzori","https://www.sardegnacultura.it/j/v/258?s=18968&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Archeologico Etnografico Palazzo Atzori","OR","Paulilatino",,"Via Nazionale, 127-129","40.082909257","8.763268893","aperto","a pagamento","Il museo ha sede in una bella palazzina del centro storico, risalente al XVIII secolo. Attualmente è dedicato a illustrare aspetti della vita contadina e pastorale della comunità di Paulilatino attraverso una consistente raccolta di arredi, attrezzi e materiali vari, allestiti per ricreare gli ambienti di un'abitazione tradizionale: il cortile con il lapidario, il carro con il giogo e altri attrezzi, le camere da pranzo e da letto, la cantina. È possibile quindi ritrovare nel loro contesto gli strumenti di lavoro e i prodotti quali il pane, i dolci e i ricami, e documentarsi sulla tessitura e sulla produzione del formaggio.","intero// ridotto// ridotto// gratuito","euro 7,00// euro 4,00// euro 3,00// ","Visitatori oltre i 14 anni.// Gruppi oltre 20 persone, dai 14 anni in su.// Minori dai 6 ai 13 anni.// Minori sino ai 5 anni.","// // ","autunnale, invernale// primaverile// estivo","LU-DO// LU-DO// LU-DO","09:30-13:00// 15:00-17:30// 09:30-13:00// 15:30-18:00// 09:30-13:00// 16:00-18:30","I biglietti si acquistano esclusivamente nella biglietteria del museo Palazzo Atzori o in prossimità del parco Archeologico di Santa Cristina, oppure online sul sito web del museo. Il biglietto d′ingresso acquistato presso l'Area Archeologica di Santa Cristina consente anche l'accesso al Museo Etnografico “Palazzo Atzori”.","visite guidate",,"+39 0785 55438// +39 0785 55438 FAX// +39 3477746747","info@museopalazzoatzori.com","https://museopalazzoatzori.com","https://www.facebook.com/Museo-Palazzo-Atzori-196629173687167/"
"R20FRB0222","museo, galleria e/o raccolta","Archeologia e paleobotanica","Museo Archeologico e Paleobotanico","https://www.sardegnacultura.it/j/v/258?s=22500&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Archeologico e Paleobotanico","SS","Perfugas",,"Via Sauro, s.n.c.","40.834762385","8.887913619","aperto","a pagamento","Il museo raccoglie le testimonianze archeologiche provenienti dal territorio di Perfugas, in una sezione paleobotanica, con fossili vegetali delle foreste pietrificate presenti nell'Anglona, e una paleolitica, con i  più antichi manufatti in pietra  finora rinvenuti in Sardegna. Il Neolitico è rappresentato dalla statuina di dea madre con bambino, che costituisce la prima kourotrophos in ambiente occidentale. Alla civiltà nuragica rimandano ceramiche, utensili di pietra e manufatti bronzei.",,,,"Ottobre-Maggio// Giugno-Settembre","invernale// estivo","MA-DO// MA-DO","09:00-13:00// 15:00-19:00// 09:00-13:00// 16:00-20:00","Il museo, su prenotazione, apre anche il lunedì. Per avere informazioni relativamente al costo dei biglietti, e delle attività didattico educative, è consigliabile contattare anticipatamente la struttura.","laboratori didattico-educativi// visite guidate","Per i laboratori didattico educativi è necessaria la prenotazione, che si può effettuare anche compilando un apposito form presente nel sito del museo; i laboratori didattici si realizzano sulla base dei seguenti moduli: scavo simulato, scheggiatura e accensione del fuoco, i monili paleolitici, pitture rupestri paleolitiche, tiro con l'arco, la manipolazione dell'argilla, i racconti del retablo, tessitura preistorica, trigu - dal grano al pane.","+39 079 564241// +39 3497777103","sarundine@tiscali.it// info@sarundine.com","https://www.sarundine.com","https://www.instagram.com/map_perfugas"
"R20FRB0223","museo, galleria e/o raccolta","Arte","Museo Diocesano - Sacristia Santa Maria Degli Angeli","https://www.sardegnacultura.it/j/v/258?s=22575&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Diocesano - Sacristia Santa Maria Degli Angeli","SS","Perfugas",,"Piazza Domenico Alberto Azuni, s.n.c.","40.829042914","8.886449611","aperto","a pagamento","Il museo è allestito nella cappella del Retablo di San Giorgio, nella chiesa parrocchiale di Santa Maria degli Angeli. Il retablo, il più grande della Sardegna, quattordici tavole, dipinto da un anonimo nel XVI secolo, costituisce la quinta di sfondo per le opere esposte. La piccola collezione di intagli lignei policromati è l'anima dell'esposizione; tra questi è notevole un simulacro della Vergine ascrivibile al XIV secolo.","intero// ridotto// ridotto","euro 4,00// euro 3,00// euro 2,00","Visitatori oltre i 14 anni.// Con presentazione del coupon convenzionato, e per studenti universitari con tesserino.// Gruppi oltre 15 persone, minori dai 6 ai 14 anni.","Ottobre-Maggio// Giugno-Settembre","invernale// estivo","MA-DO// MA-DO","09:00-13:00// 15:00-18:30// 09:00-13:00// 16:00-20:00","L'ingresso è gratuito per minori sino ai 6 anni e disabili. E' consentito l’accesso esclusivamente ai cani guida per non vedenti, purché muniti di guinzaglio e agli animali domestici di cui è certificato il supporto a cure terapeutiche, pet therapy. L’uso dei telefoni cellulari non è consentito, non è possibile entrare nei monumenti con cibo e bevande, è proibito fumare nei complessi monumentali. Nei monumenti è possibile far foto o riprese; coloro che necessitano di materiale fotografico o devono effettuare riprese fotografiche professionali devono chiedere uno specifico permesso all'Ufficio diocesano per i beni culturali. E' assolutamente proibito toccare le opere d’arte. Prenotazione: richiesta.","accessibilità fisica facilitata per visitatori con esigenze specifiche",,"+39 079 6393099// +39 3497777103// +39 3459388019","info@museumsi.it// segreteria@diocesitempioampurias.it","https://www.museumtempioampurias.it/index.php/sedi-museali",
