Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
Musei archeologici,Siracusa,Siracusa,Museo archeologico regionale Paolo Orsi di Siracusa,Viale Teocrito 66,"0931489511 fax 0931489532

APERTURA STRAORDINARIA lunedì 24 Aprile e 1 maggio ore 9-14","Lunedì chiusura. Da martedì a sabato dalle 9.00 alle 19.00. Festivi dalle 9.00 alle 14.00. Ultimo ingresso un'ora prima. Orari Numismatica: da martedì a sabato dalle 9.00 alle 13.30, mercoledì dalle 9.00 alle 17.30.","8,00 €","4,00 €","L'acquisto di biglietti non può più essere effettuato tramite bonifico sul contocorrente dell'amministrazione regionale. Per informazioni rivolgersi al concessionario THEKEY srl, amministrazione@thekeygroup.eu",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=30&amp;IdSito=71
Aree archeologiche,Messina,Milazzo,Antiquarium di Milazzo,Via Impallomeni 16,0909223471,Da martedì al sabato ore 09:00/19:00; festivi e lunedi ore 09:00/13:00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=191&amp;IdSito=152
Aree archeologiche,Ragusa,Ragusa,Area archeologica Agora',"S.P. 102 - Km.1,5",0932 826004,Chiusa per lavori di messa in sicurezza,Unico con Museo di Kamarina,Unico con Museo di Kamarina,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=177&amp;IdSito=125
Aree archeologiche,Siracusa,Carlentini,Area archeologica di Leontinoi,Contrada San Mauro - Carlentini,0957832962 (presso Museo),"Martedì, giovedì dalle 8.30 alle 13.45 (chiusura biglietteria ore 13.00).
giovedì 27 e festivi CHIUSO",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=180&amp;IdSito=81
Aree archeologiche,Caltanissetta,Gela,Area archeologica Bosco Littorio (Emporio Greco) di Gela,Località Bosco Littorio,0933912626,Chiuso temporaneamente,,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=146&amp;IdSito=24
Monumentale,Messina,Montalbano Elicona,Castello di Montalbano Elicona,Via Castello,"09036746433, URP della Soprintendenza di Messina","Da lunedì a venerdi dalle ore 09:00 alle ore 13:00 e dalle ore 14:00 alle ore 18:00.
Nei festivi dalle ore 09:00 alle ore 18:00 open day.
L'apertura sarà prolungata nel periodo estivo","3,00 €","1,50 €","Nei giorni di chiusura visitabile su prenotazione, tramite Ufficio del Turismo del Comune (0941678019; 0941670081)",
Aree archeologiche,Palermo,Palermo,Castello della Zisa,Piazza Zisa,0916520269 - 0917071411,"Da lunedì a sabato 9,00-19,00 (ultimo ingresso 18,30) domenica e festivi 9,00-13,30 (ultimo ingresso 13,00)","6,00 €","3,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=11&amp;IdSito=56
Aree archeologiche,Catania,Catania,Anfiteatro Romano di Catania,Piazza Stesicoro,095/7150508 polomuseale.ct@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it,"Da martedì a sabato dalle ore 9.00 alle ore 13.00 e dalle ore 14.30 alle ore 19.00.
Giorni di chiusura:lunedì e domenica.",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=147&amp;IdSito=28
Aree archeologiche,Trapani,Favignana,Grotta del Genovese - Levanzo,,0923808111,Visitabile su prenotazione,Gratuito,Gratuito,Previa prenotazione escluso i festivi. La visita dura 2 ore ed è guidata,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=190&amp;IdSito=90
Musei archeologici,Trapani,Marsala,Museo archeologico regionale Lilibeo Marsala - Baglio Anselmi,Lungomare Boeo 30 – 91025 MARSALA,0923 952535 - per le visite su prenotazione rivolgersi al personale o telefonare allo 0923 952535,"MUSEO: martedì, domenica e festivi ore 9.00-13.30 (ultimo 12.30); da mercoledì a sabato 9.00-18.30 (ultimo 17.30). AREA ARCHEOLOGICA: martedì, domenica e festivi 9.00-12.30; da Mercoledì a sabato 9.00-17.30 (ultimo 16.30). Chiusura il Lunedì","4,00 €","2,00 €","GROTTA DELLA SIBILLA: da martedì a venerdì 9.00-13.00 (Visite su richiesta).
IPOGEO CRISPIA SALVIA: da martedì a venerdì 9.00-13.00 (Visite su prenotazione).
Chiusura il Lunedì. Orari in vigore dal 18 aprile 2017",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=32&amp;IdSito=88
Aree archeologiche,Trapani,Campobello di Mazara,Area archeologica Cave di Cusa Vincenzo Tusa,S.P. Tre Fontane,092446277,"Apertura alle 9,00. Apertura alle 9,00. Dal 1 marzo chiusura alle ore 13.00 (uscita entro le 14.00).","2,00 €","1,00 €","Modalità di pagamento ingresso alle aree del Parco: CONTANTI: allo sportello della biglietteria, POS allo sportello della biglietteria; BONIFICO BANCARIO (istruzioni sulla pagina del Parco)",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=183&amp;IdSito=89
Musei archeologici,Ragusa,Ragusa,Museo regionale interdisciplinare di Ragusa,Via Natalelli,0932622963 - fax 0932622963,"Tutti i giorni feriali dalle ore 9,00 alle 18.30. Apertura festiva solo la prima domenica di ogni mese",Gratuito,Gratuito,Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=28&amp;IdSito=67
Musei archeologici,Siracusa,Lentini,Museo archeologico regionale di Lentini,Via Museo 1,0957832962,"Lunedì chiuso. Dal martedì al sabato dalle 9.00 alle 19.00 (chiusura biglietteria 18.00).
Domenica 2-9-30 luglio dalle 9.00 alle 13.30 (chiusura biglietteria 13.00)",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=31&amp;IdSito=80
Aree archeologiche,Siracusa,Siracusa,Ginnasio Romano,Via Elorina,09314508211,CHIUSO,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=181&amp;IdSito=76
Musei e Gallerie,Palermo,Palermo,Museo regionale d'Arte moderna e contemporanea di Palermo,Corso Vittorio Emanuele n. 365(Piazza Bologni),091320532 fax 0916090166,"Martedì, mercoledì e domenica ore 10,00-20,00(la biglietteria chiude 30 minuti prima); giovedi, venerdì e sabato ore 10,00-24,00(la biglietteria chiude 30 minuti prima). Lunedì chiuso eccetto i festivi. La biglietteria chiude 30 minuti prima.","6,00 €","3,00 €","La prima domenica di ogni mese ingresso gratuito. Prossima festività: venerdì 2 giugno apertura del Museo, orario 10.00-20.00(la biglietteria chiude 30 minuti prima).",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=9&amp;IdSito=112
Musei e Gallerie,Trapani,Trapani,Museo regionale Agostino Pepoli di Trapani - Museo interdisciplinare,Via Conte Pepoli 180,0923553269 - fax 0923535444,"LUNEDI'CHIUSO. Apertura da mercoledì a sabato dalle 9,00 alle 17.30;marterdì dalle 9,00 alle 13,30; domeniche e festivi dalle ore 9,00 alle 12,30. La biglietteria termina il servizio mezz'ora prima della chiusura.","6,00 €","3,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=14&amp;IdSito=86
Musei e Gallerie,Catania,Caltagirone,Museo regionale della Ceramica di Caltagirone,Giardino Pubblico ''Vittorio Emanuele'' fino al 19 marzo 2017 (succesivamente anche da Via Roma ''Teatrino del Bonaiuto''),093358418 - 093358423 fax 093326972,Tutti i giorni dalle 9.00 alle 18.30 (ultimo ingresso ore 18.00),"4,00 €","2,00 €",Ingresso gratuito ai minori di 18 anni e ai cittadini dell'Unione Europea nel giorno del loro compleanno. Ingresso libero la prima domenica di ogni mese. Visitate la pagina facebook.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=2&amp;IdSito=38
Aree archeologiche,Siracusa,Siracusa,"Area archeologica della Neapolis, Orecchio di Dionisio e Teatro Greco",Via del Teatro Greco,093166206,"Tutti i giorni dalle 8,30 alle 19,45. Chiusura biglietteria 18.30","10,00 €","5,00 €","L'acquisto di biglietti non può più essere effettuato tramite bonifico sul contocorrente dell'amministrazione regionale. Per informazioni rivolgersi al concessionario THEKEY srl, amministrazione@thekeygroup.eu",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=55&amp;IdSito=75
Aree archeologiche,Siracusa,Noto,Area archeologica e Villa Romana del Tellaro,Contrada Caddeddi,0931573883,Tutti i giorni dalle 8.30 alle 19.00 (chiusura biglietteria 18.00),Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=53&amp;IdSito=83
Aree archeologiche,Catania,Catania,Ipogeo Romano,Via G. Sanfilippo,095/7150508 polomuseale.ct@regione.sicilia.it - poloregionalect.urp@regione.sicilia.it,L'Ipogeo romano è visitabile su prenotazione,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=166&amp;IdSito=30
Aree archeologiche,Trapani,Calatafimi Segesta,Area archeologica Segesta,Case Barbaro - contrada Barbaro - S.P.  68,0924952356,"Apertura sempre alle ore 9.00. Chiusure: sino al 28 febbraio ore 17. Dall'1 al 26 marzo ore 18,30; dal 27 marzo al 1 ottobre ore 19.30; dal 2 al 31 ottobre ore 18,30; dal 1 novembre al 31 dicembre ore 17. ULTIMO INGRESSO UN'ORA PRIMA DELLA CHIUSURA.","6,00 €","3,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=57&amp;IdSito=91
Musei e Gallerie,Palermo,Marineo,Castello Beccadelli Bologna,Piazza Castello,0917071425 - 0918726491,Da martedì a domenica dalle 9.30 dalle 13.30. Mercoledì e sabato anche dalle 9.30 alle 18.30. Chiuso il lunedì,,,Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=101&amp;IdSito=110
Musei e Gallerie,Catania,Adrano,Museo regionale di Adrano,Piazza Umberto I,TEL. 0957691622 - 0957602608,Aperto da lunedì a sabato dalle ore 9.00 alle ore 19.00. Domenica dalle ore 9.00 alle ore 13.00. La prima domenica del mese dalle 9.00 alle 19.00.Costo 2 euro (prezzo ridotto poiché parte del Museo è temporaneamente chiusa),"2,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=4&amp;IdSito=35
Aree archeologiche,Ragusa,Santa Croce Camerina,Area archeologica Caucana,Via delle Anticaglie - Frazione Caucana,347 6974 535 (Distefano),Apertura su prenotazione telefonica. Tutte le domeniche dal 30 Aprile al 30 Giugno dalle ore 10.00 alle 12.30 Nei mesi di Luglio ed Agosto il mattino dalle 10.00 alle 12.30 e nel pomeriggio dalle 17.00 alle 19.30,Ingresso libero,Ingresso libero,gestito dal Comitato Kaukana con indirizzo email comitato.kaukana@gmail.com,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=54&amp;IdSito=70
Musei archeologici,Agrigento,Agrigento,Museo archeologico regionale di Agrigento,Contrada San Nicola 12,"0922401565 - fax 092220014
e-mail: polomuseale.ag@regione.sicilia.it","Da lunedì a sabato 9,00-19,30; Giorni festivi e domeniche: 9,00-13,30. (Ultimo ingresso mezz'ora prima della chiusura). Biglietto cumulativo Museo-Parco Archeologico e Paesaggistico Valle dei Templi: singolo € 13,50, ridotto € 7,00.","8,00 €","4,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=16&amp;IdSito=2
Aree archeologiche,Siracusa,Siracusa,Tempio Jonico,Via del Teatro Greco,0931 450811,Chiuso al pubblico per interventi di manutenzione,,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=179&amp;IdSito=73
Monumentale,Trapani,Favignana,Ex Stabilimento Florio di Favignana,Isola di Favignana,Vedi sito Internet della Soprintendenza BB.CC.AA. di Trapani,"Dall'1 al 9 aprile sabato e domenica (10.00 - 14.00). Dal 15 aprile al 30 maggio tutti i giorni (10.00 - 14.00), dall'1 al 30 giugno chiusura alle 17.00. Da luglio a settembre tutti i giorni (10.30 - 13.30 e 17.00 - 23.00)","6,00 €","3,00 €","Per informazioni: Biglietteria del sito, cell. 3245631991",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=186&amp;IdSito=150
Musei e Gallerie,Siracusa,Siracusa,Galleria regionale di Palazzo Bellomo di Siracusa – Museo interdisciplinare,Via Capodieci 14-16,"093169511, fax 093169529","Da Marzo a Novembre 2017: da martedì a sabato dalle 9.00 alle 19.00. Festivi (tranne prima e terza domenica) apertura dalle 14.00 alle 19.30, prima e terza domenica dalle 9.00 alle 13.30. Lunedì chiuso.","8,00 €","4,00 €","20 settembre 2016 - Per l'acquisto di stock di biglietti rivolgersi al concessionario THEKEY srl, amministrazione@thekeygroup.eu",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=13&amp;IdSito=72
Musei e Gallerie,Messina,Messina,Museo regionale interdisciplinare di Messina,Viale della Libertà 465,090361292/93,Dal Martedì al Sabato ingresso dalle 9.00 alle 18.30 (chiusura 19.00); Domenica e festivi 9.00-12.30 (chiusura 13.00). Lunedì (non festivi) chiuso.,"8,00 €","4,00 €","I giorni 15, 16 e la mattina del 17 giugno il Museo sarà chiuso per l'ultimazione dei preparativi all'apertura dei nuovi settori. Dopo la cerimonia di sabato 17, l'ingresso libero del pubblico sarà garantito dalle 20.30 alle 22.30.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=5&amp;IdSito=43
Aree archeologiche,Agrigento,Naro,Zona Archeologica,Contrada Canale - Naro,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Da Lunedì al Sabato dalle ore 8,00 alle ore 14,00. Tutte le Domeniche e le Festività chiusura totale",Gratuito,Gratuito,,
Aree archeologiche,Caltanissetta,Gela,Area archeologica Acropoli (Molino a Vento),Corso Vittorio Emanuele 1,0933912626,"In ora solare, dal lunedì al sabato, dalle 9,30 alle 13,00 e dalle 14,00 alle 18,00 (ultimo ingresso ore 17,30). CHIUSO I FESTIVI  tranne la prima domenica di ogni mese, dalle 9,00 alle 13,00 (ultimo ingresso ore 12,30)",,,"Apertura fino alle ore 13,00 tutte le domeniche di giugno e luglio.
Biglietto unico con il Museo Archeologico Regionale di Gela.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=37&amp;IdSito=22
Aree archeologiche,Caltanissetta,San Cataldo,Area archeologica Vassallaggi,Contrada Vassallaggi,0934554964,Visitabile su prenotazione inviando richiesta a: sopricl@regione.sicilia.it,Gratuito,Gratuito,Per ragioni di sicurezza il sito non è temporaneamente visitabile.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=164&amp;IdSito=25
Aree archeologiche,Messina,Patti,Villa Romana di Patti,Via Giovanni XXIII 2 - Patti Marina,0941361593,"maggio, giugno, luglio e agosto ore 09:00/19:00. Dal 1 al 15 settembre ore 09:00/18:30; dal 16 al 30 settembre ore 09:00/18:00.","4,00 €","2,00 €","Dal 1 settembre 2015 è istituito il biglietto unico per la visita della Villa Romana di Patti Marina e dell'area archeologica di Tindari, con tariffa intera di € 8,00 e ridotta di € 4,00, la cui validità è di tre giorni dalla data di emissione.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=42&amp;IdSito=49
Musei e Gallerie,Palermo,Palermo,Galleria regionale della Sicilia di Palazzo Abatellis di Palermo – Museo interdisciplinare,Via Alloro 4,"Telefono 0916230011, fax 0916165305, urp 0916230068, Biglietteria 0916230047
e-mail:polomuseale.pa@regione.sicilia.it
https://www.facebook.com/GalleriaRegionaledellaSiciliadiPalazzoAbatellis?fref=ts","da martedì a venerdì 9.00-18.30; sabato, domenica e festivi 9.00-13.00. Lunedì chiuso.","8,00 €","4,00 €",Prima domenica del mese Ingresso gratuito. Possibilità di biglietto cumulativo.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=7&amp;IdSito=54
Monumentale,Messina,Taormina,Palazzo Ciampoli,Corso Umberto,"09036746433, URP della Soprintendenza di Messina","Prossima apertura, orari in attesa di definizione",,,,
Aree archeologiche,Catania,Catania,Teatro Romano e Odeon di Catania,Via Vittorio Emanuele 266,095/7150508 fax 095/311004- polomuseale.ct@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it,"Da lunedì a domenica dalle ore 9.00 alle ore 19.00. 
 
La prima domenica del mese l'ingresso è gratuito","6,00 €","3,00 €","In occasione dell'evento organizzato in collaborazione con Taobuk ''Premio Sicilia a Isabel Allende'', sabato 3 giugno, il Teatro Antico chiuderà alle ore 17.00",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=147&amp;IdSito=29
Musei archeologici,Siracusa,Palazzolo Acreide,Museo archeologico di Palazzo Cappellani,Via Gaetano Italia 36,0931875575,"Lunedì e festivi dalle 14,00 alle 19,00, chiusura biglietteria 18,00. Dal martedì al sabato dalle 9,00 alle 19,00, chiusura biglietteria 18,00",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=326&amp;IdSito=172
Aree archeologiche,Caltanissetta,Gela,Area archeologica Bagni Greci di Gela,Via Europa,0933 912626,"Libero accesso tutti i giorni dalle 9,00 alle 14,00 e dalle 15,00 alle 20,00",Gratuito,Gratuito,Sito non custodito situato all'interno della struttura Casa di Riposo ''Antonietta Aldisio'',http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=145&amp;IdSito=23
Aree archeologiche,Ragusa,Pozzallo,Torre Cabrera,"Pozzallo, Piazza Rimembranza snc",09321839271,Dal lunedì al sabato dalle ore 9 alle 12.30 e dalle ore 16.45 alle 19.45.,,,Ingresso libero. Per info ulteriori ed eventuali variazioni:Comune di Pozzallo cultura@comune.pozzallo.rg.it,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=178&amp;IdSito=128
Monumentale,Catania,Catania,Chiesa di San Francesco Borgia,Via Crociferi 17,095310762,"Da lunedì a sabato dalle 9,00 alle 19,00. Aperta la prima domenica di ogni mese dalle 9,00 alle 19,00. Ulteriori domeniche del mese 9.00-13.00. Festivi 9.00-13.00.",Ingresso libero,Ingresso libero,,
Aree archeologiche e Antiquarium,Palermo,Termini Imerese,Area archeologica e Antiquarium di Himera,Contrada Buonfornello,"Tel. 0918140128 e 0918140906, fax 0918140906 indirizzo email poloarcheologico.pa.uo5@regione.sicilia.it","Feriali 9.30 - 13.30 e 14.30 - 18.30, domeniche e festivi 9,30 - 13,30. Prima domenica del mese ingresso gratuito. Lunedì chiusura. La biglietteria chiude trenta minuti prima dell'uscita","4,00 €","2,00 €",Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici. Visita all'area archeologica della Città alta dalle 9.30 alle 13.30.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=50&amp;IdSito=65
Aree archeologiche,Messina,Capo d'Orlando,Area archeologica di Capo d'Orlando,Contrada Bagnoli,0941955401,Tutti i giorni compresi i festivi da aprile a settembre 09:00/19:00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=168&amp;IdSito=46
Aree archeologiche,Agrigento,Sant'Angelo Muxaro,Area archeologica di Sant'Angelo Muxaro,Necropoli - Sant'Angelo Muxaro,0922 919806,"Giorni feriali:aperto tutti i giorni dalle 8,30 alle 19
Domeniche e festività infrasettimanali:aperto dalle 8,30 alle 13,30",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=159&amp;IdSito=15
Aree archeologiche,Agrigento,Canicatti',"Zona Archeologica ""Vito Soldano""","Zona archeologica di Vito Soldano - Canicattì
SS 122 - trazzera Canicattì-Castrofilippo",Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Da Lunedì al Sabato dalle ore 8,00 alle ore 14,00. Tutte le Domeniche e le Festività chiusura totale",Gratuito,Gratuito,,
Aree archeologiche,Enna,Piazza Armerina,Area archeologica della Villa Romana del Casale a Piazza Armerina,Contrada Casale,0935680036,"Tutti i giorni, festivi compresi, la biglietteria rimarrà aperta dalle ore 9,00 alle ore 18,00, il cancello sarà chiuso alle ore 19,00. L'ingresso è libero ogni prima domenica di ogni mese.","10,00 €","5,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=39&amp;IdSito=124
Musei archeologici e Aree archeologiche,Messina,Giardini-Naxos,Museo archeologico regionale e Area archeologica di Naxos,"Via Lungomare Schisò, Giardini Naxos ( Messina ) - Sicily - Italy",Direzione 0942628738 Museo e area archeologica 094251001 - Fax 0942571813,www.parconaxostaormina.it - Aperto tutti i giorni dalle 9.00 ad un'ora prima del tramonto,"4,00 €","2,00 €","Audio Tour LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Scarica App su iziTRAVEL",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=41&amp;IdSito=120
Musei e Gallerie,Catania,Catania,Casa Museo Giovanni Verga,"Via Sant'Anna, 8
 Catania.",0957150598,"Tutti i giorni dalle ore 9.00 alle ore 13.15 e dalle 14.15 alle 19.00.
Chiusura  domenica e festivi.","4,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=3&amp;IdSito=27
Monumentale,Siracusa,Siracusa,Castello Maniace,Isola di Ortigia,0931464420,Da lunedì a sabato dalle 8.30 alle 13.00. Festivi chiuso. Lunedì 10 luglio chiuso per lavori,"2,00 €",,Orari validi per il mese di luglio.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=102&amp;IdSito=77
Aree archeologiche e Antiquarium,Agrigento,Cattolica Eraclea,Area archeologica e Antiquarium Eraclea Minoa,Contrada Minoa - Cattolica Eraclea,0922 846005,"Orario di apertura al pubblico dal 18 Aprile al 17 Settembre dalle ore 9,00 alle ore 19,00
Orario di apertura dal 18 settembre al 31 Dicembre dalle ore 9,00 alle ore 17,00","4,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=35&amp;IdSito=9
Aree archeologiche,Palermo,Palermo,Area archeologica Villa Bonanno,Piazza della Vittoria,0917071317/411,"Da lunedì a venerdì dalle 9.00 alle 13,00",Gratuito,Gratuito,Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=172&amp;IdSito=60
Aree archeologiche,Messina,San Fratello,Area Archeologica dell’antica Apollonia,Monte Vecchio,"09036746433, URP-Soprintendenza di Messina",Da aprile a settembre nei giorni feriali ore 09:00/19:00; nei festivi da giugno a settembre ore 09:00/19:00.,Gratuito,Gratuito,,
Aree archeologiche,Caltanissetta,Mazzarino,Area archeologica di Sophiana,Mazzarino - Contrada Sofiana (S.P. 25),0935 687667,Visitabile su prenotazione,,,Chiuso al pubblico. Per informazioni urpmuseo.casale@regione.sicilia.it oppure visita www.villaromanadelcasale.it.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=165&amp;IdSito=129
Aree archeologiche,Ragusa,Modica,Area archeologica di Cava d'Ispica,"Modica, S.P. Modica-Cava Ispica snc",0932771667,"Dal 1 aprile tutti i giorni, festivi compresi, dalle 9 alle 18.30.","4,00 €","2,00 €",Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=52&amp;IdSito=69
Musei e Gallerie,Palermo,Terrasini,Museo regionale di Terrasini,Lungomare Peppino Impastato,"Centralino 091.8810989 - Personale di custodia 091.8683327
e-mail: poloartemoderna.pa.ou3@regione.sicilia.it","Lunedì chiuso, da martedì a domenica dalle 09:00 alle 19:00.
Ingresso gratuito la prima domenica del mese.","6,00 €","3,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=8&amp;IdSito=66
Monumentale,Messina,Taormina,Castello di Tauro,,090 36746435 (URP),Chiuso per ristrutturazione,,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=143&amp;IdSito=115
Aree archeologiche,Messina,Acquedolci,Area Archeologica. Grotta di San Teodoro,Contrada Favara,0941730005,"Tutti i giorni compresi i festivi da aprile a settembre, ore 09:00/19:00.",Gratuito,Gratuito,,
Musei archeologici,Caltanissetta,Caltanissetta,Museo regionale interdisciplinare di Caltanissetta,Contrada Santo Spirito,0934567062 - fax 0934567086,"Tutti i giorni 9,00-13,00 e 15,30-19,00. Chiuso l'ultimo lunedì del mese","4,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=18&amp;IdSito=16
Musei archeologici,Caltanissetta,Gela,Museo archeologico regionale di Gela,Corso Vittorio Emanuele 1,0933912626,"In ora solare da lunedì a sabato, dalle 9,00 alle 19,00 (ultimo ingresso ore 18,30). CHIUSO I FESTIVI tranne la prima domenica di ogni mese con ingresso libero.","4,00 €","2,00 €",Apertura tutte le domeniche di giugno e luglio,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=19&amp;IdSito=19
Antiquaria,Agrigento,Sciacca,Zona archeologica di Tranchina,Contrada Tranchina - Sciacca,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Da lunedì a venerdì dalle 9 alle 13,00. Tutti i Sabati,le Domeniche e le Festività chiusura totale",Gratuito,Gratuito,,
Monumentale,Messina,Spadafora,Castello di Spadafora,Via Nazionale,090 36894435 (URP),"Tutti i giorni dalle 9,00 alle 19,00. Domenica e festivi su prenotazione",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=144&amp;IdSito=116
Musei archeologici,Enna,Aidone,Museo regionale di Aidone,Largo Torres Truppia 1,093587307,"Aperto tutti i giorni, compresi i festivi, dalle 8,30 alle 19,30,(orario continuato)ultimo ingresso alle ore 18.00","6,00 €","3,00 €","Prevista vendita biglietti ridotti e cumulativi di due o tre siti tra: Area arch. di Morgantina, Museo di Aidone e Villa del Casale.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=22&amp;IdSito=40
