Denominazione,Categoria,Comune,Indirizzo,Latitudine,Longitudine,Prezzo,Contatti
Nuraghe Majori,area o parco archeologico,Tempio Pausania,SS 133,40.919447695,9.096851107,3.5,+393472995933//+393203060634
Area di S'Urbale,area o parco archeologico,Teti,"Via Roma, 7",40.085631954,9.109598278,2.5,+39078468120//+3907849364481
Museo Archeologico Comprensoriale,"museo, galleria, raccolta",Teti,"Via Roma, 7",40.097035648,9.121007812,2.5,+39078468120
Santuario Nuragico di Abini,area o parco archeologico,Teti,"Via Roma, 7",40.145460165,9.092964759,2.5,+39078468120
Complesso Nuragico di Santu Antine,area o parco archeologico,Torralba,SP 21,40.486504236,8.769904623,8.0,+39079847481//+393664353484//+393479138479
Complesso Monumentale Comprendente La Cattedrale di S. Maria di Monserrato e Borgo Medievale,monumento o complesso monumentale,Tratalias,"Piazza Chiesa, s.n.c.",39.097975559,8.572070511,2.5,+390781688046//+390781697023
Museo dell'olivo e dell'olio e Museo degli strumenti musicali - Villa Asquer,"museo, galleria, raccolta",Tuili,"Piazza San Pietro, s.n.c.",39.715234422,8.958843543,4.0,+390700950283//+393479446052
Museo Stazione dell'Arte,"museo, galleria, raccolta",Ulassai,SP 11,39.803663782,9.511429619,6.0,+390782787055
Museo Archeologico di Viddalba,"museo, galleria, raccolta",Viddalba,"Via Giovanni Maria Angioy, 5",40.916394607,8.894386826,3.0,+393273834604
Museo Civico Archeologico Villa Leni,"museo, galleria, raccolta",Villacidro,"Piazza Zampillo, 1",39.456778972,8.732123755,2.0,+3907093442215
Area archeologica Troculu,area o parco archeologico,Villagrande Strisaili,"SS 389 var. Buddusò Correboi, località Genna Troculu",39.989221335,9.408174082,3.0,+39078232704//+393939020917
Area di Sa Carcaredda,area o parco archeologico,Villagrande Strisaili,SS 389 var. Buddusò Correboi,39.99218819,9.427436893,3.0,+39078232704//+393939020917
S'Arcu 'e Is Forros,area o parco archeologico,Villagrande Strisaili,"SS 389 var. Buddusò Correboi, località Arcu e Is Forros",40.002023634,9.400515256,3.0,+39078232704//+393939020917
Area di Pottu Codinu,area o parco archeologico,Villanova Monteleone,SS 292,40.487202751,8.519114182,2.0,+393381586752//+393381809055//+393668412916//+39079960607
Museo Etnografico Sa Domo Manna,"museo, galleria, raccolta",Villanova Monteleone,"Via Papa Giovanni XXIII, 8",40.503002947,8.471421837,2.0,+39079960268
Villaggio Nuragico Nuraghe Appiu,area o parco archeologico,Villanova Monteleone,"Strada consortile Monte Cuccu, Baddu 'e Pessighes",40.445358988,8.420052163,2.5,+393381586752//+393381809055//+393668412916
Parco e Museo Genna Maria,area o parco archeologico,Villanovaforru,"Piazza Costituzione, 4/ Località Monte Genna Maria",39.632759931,8.868341374,4.0,+390709300050//+390709300048
Area archeologica Su Mulinu,area o parco archeologico,Villanovafranca,Strada Comunale Cuccuru Meu,39.634364269,8.994152835,3.0,+390709367458
Civico Museo Archeologico Su Mulinu,"museo, galleria, raccolta",Villanovafranca,"Piazza Risorgimento, 6",39.645751062,9.001293255,3.0,+390709367458
Parco Archeologico Montessu,area o parco archeologico,Villaperuccio,"SP 80, Località Montessu",39.133402932,8.667470024,5.0,+393407433521
Fortezza Vecchia,monumento o complesso monumentale,Villasimius,Località Torre Vecchia,39.116166082,9.503739414,1.0,+390707930290//+390707930232
Museo Archeologico di Villasimius,"museo, galleria, raccolta",Villasimius,"Via Aventino Frau, 5",39.14374111,9.518478568,3.0,+390707930290
Area archeologica Nuraghe Losa,area o parco archeologico,Abbasanta,SS 131 Carlo Felice,40.116863973,8.790317545,5.0,+39078552302//+393319128790
Necropoli di Li Muri di Arzachena,area o parco archeologico,Arzachena,SS 427,41.07012655,9.321715088,4.0,+393457200094
Museo Rossoblù,"museo, galleria, raccolta",Quartu Sant'Elena,"Via Armando Diaz, 77",39.243800843,9.184345107,5.0,+393476413293
Tempio di Malchittu,area o parco archeologico,Arzachena,Località Malchittu,41.0790339,9.4105799,4.0,+393457200094
Area archeologica Su Nuraxi,area o parco archeologico,Barumini,"Viale Su Nuraxi, s.n.c./ SP 44 km 0,55",39.705902323,8.990714021,14.0,+390709368128//+393771805443//+393771716166
Museo Archeologico Nazionale,"museo, galleria, raccolta",Cagliari,"Piazza Arsenale, 1",39.222394763,9.116764118,7.0,+3907060518245//+3907060518248//+39070655911
Pinacoteca nazionale di Cagliari,"museo, galleria, raccolta",Cagliari,"Piazza Arsenale, 1",39.22294634,9.117273328,4.0,+39070662496//+39070655911
Centro di educazione ambientale - Laguna di Nora,"museo, galleria, raccolta",Pula,"Viale Nora, s.n.c. - Laguna di Nora",38.98909642,9.012144276,8.0,+390709209544//+393331864668
Spazio San Pancrazio,monumento o complesso monumentale,Cagliari,"Piazza Arsenale, 1",39.22165829,9.116773169,4.0,+3907060518245//+3907060518248//+39070655911
Museo dell'archeologia e del territorio - MATER,"museo, galleria, raccolta",Mamoiada,"Via G. Manno, 18",40.212869227,9.283694547,4.0,+390784569018
Museo della Valle dei Nuraghi del Logudoro-Meilogu,"museo, galleria, raccolta",Torralba,"Via Carlo Felice, 151",40.513930458,8.765953759,6.0,+39079847481//+393664353484//+393479138479
Museo Antoine De Saint-Exupéry - MASE,"museo, galleria, raccolta",Alghero,"Via Porto Conte, s.n.c., Torre di Porto Conte",40.593630073,8.204315564,5.0,+393295658813
META - Museo etnografico di Abbasanta,"museo, galleria, raccolta",Abbasanta,"Via S. Caterina, 25",40.124741737,8.821898921,2.5,+39078552302//+393319128790
Compendio Garibaldino di Caprera,"museo, galleria, raccolta",La Maddalena,Isola di Caprera,41.216430485,9.461617533,7.0,+390789727162//+390789726015//+393357505401
Memoriale Giuseppe Garibaldi,"museo, galleria, raccolta",La Maddalena,Forte Arbuticci - Isola di Caprera,41.229399188,9.471098627,6.0,+390789727162//+390789726015
MAGMMA - Museo d’arte grafica mediterraneo Marchionni,"museo, galleria, raccolta",Villacidro,"Via Vittorio Emanuele, 15",39.457970751,8.733165303,5.0,+393403473320
Museo Casa Deriu Tresnuraghes,"museo, galleria, raccolta",Tresnuraghes,"Via San Giorgio, 16",40.251247378,8.518426127,4.0,+39078535509
CIMA - Civico Museo di Allai,"museo, galleria, raccolta",Allai,"Via Parrocchia, 15",39.956759438,8.864133596,3.0,+393288789521
Antiquarium Turritano e zona archeologica,"museo, galleria, raccolta",Porto Torres,"Via Ponte Romano, 99",40.838353453,8.397059483,4.0,+39079514433
Carcere baronale spagnolo,"museo, galleria, raccolta",Seui,"Via Sassari, 47",39.840437717,9.320536148,5.0,+390782539002
Casa Farci,"museo, galleria, raccolta",Seui,"Via Roma, 166",39.839701221,9.322548836,5.0,+390782539002
Area archeologica di Nora,area o parco archeologico,Pula,"Viale Nora, s.n.c.",38.984184856,9.015866942,6.0,+390709209366//+390709209138
Galleria Civica,"museo, galleria, raccolta",Seui,"Via della Sapienza, 38",39.839596479,9.324165586,5.0,+390782539002
Altare prenuragico di Monte d'Accoddi,area o parco archeologico,Sassari,Strada vicinale Monte d'Accoddi,40.790712457,8.448955222,4.0,+393348074449//+390792008072//+39079514433
Museo nazionale archeologico ed etnografico Giovanni Antonio Sanna,"museo, galleria, raccolta",Sassari,"Via Roma, 64",40.722540468,8.567672176,3.0,+39079272203
Pinacoteca nazionale di Sassari,"museo, galleria, raccolta",Sassari,"Via Santa Caterina, 4",40.72719247,8.559657362,4.0,+39079231560
Area archeologica di Tharros,area o parco archeologico,Cabras,"SP 6, San Giovanni di Sinis",39.873435968,8.440882669,6.5,+390783370019
S'Omu de sa maja,"museo, galleria, raccolta",Seui,"Via della Sapienza, s.n.c.",39.839926141,9.323699622,5.0,+390782539002
Cripta di Santa Restituta,area o parco archeologico,Cagliari,"Via Sant'Efisio, 14",39.21894535,9.112870527,2.0,+393662562826
Carcere Spagnolo - Sa Bovida,"museo, galleria, raccolta",Aritzo,"Via G. Marconi, s.n.c.",39.956306057,9.196234301,2.0,+393898731853//+390784627200
Parco-Museo S'Abba Frisca,"museo, galleria, raccolta",Dorgali,SS 125 Località Vallata di Littu,40.307278363,9.629401772,8.5,+393337655405//+393382380089//+393391464112//+393356569072
Area di S'Ortali e Su Monti,area o parco archeologico,Tortolì,Località S'Ortali e Su Monti,39.913263435,9.667972502,3.0,+39078232704
Cripta e Chiesa di San Lussorio,monumento o complesso monumentale,Fordongianus,SS 388,39.989712888,8.79819782,2.5,+39078360157
Museo diocesano Arborense,"museo, galleria, raccolta",Oristano,"Piazza Duomo, 1",39.902720678,8.590039922,4.0,+393425887847
Nuraghe Armungia,area o parco archeologico,Armungia,"Piazza Municipio, s.n.c.",39.522375799,9.383929958,1.5,+390709589011
Museo Archeologico della Città,"museo, galleria, raccolta",Alghero,"Via Carlo Alberto, 72",40.557353096,8.314130211,5.0,+39079979054//+39079980729
Museo Laboratorio dell'Età Nuragica - LABENUR,"museo, galleria, raccolta",Arzachena,"SP 115 - Stazione Ferroviaria, km 207,94",41.081626483,9.372607576,5.0,+393408209749//+393337389973
Parco urbano di Cannas di Sotto,area o parco archeologico,Carbonia,"Corso Iglesias, s.n.c./ Via Fertilia, s.n.c.",39.163079295,8.532182936,5.0,+3907811867304//+393458886058
Sito archeologico nuragico Lu Brandali,area o parco archeologico,Santa Teresa Gallura,"SP 90 - Via Capotesta, s.n.c.",41.233539787,9.175377523,5.0,+393498347698//+393477412166//+393920547979
Torre di Longosardo,monumento o complesso monumentale,Santa Teresa Gallura,"Via Bechi, s.n.c.",41.24552309,9.192536992,3.0,+393498347698//+393477412166//+393920547979
Domus de janas di Montalè,area o parco archeologico,Sassari,"Via Medaglie d’Oro, s.n.c.",40.748256902,8.511389012,4.0,+390792008072
Palazzo Ducale,monumento o complesso monumentale,Sassari,"Piazza del Comune, 1",40.726604737,8.559391856,4.0,+390792008072
Museo multimediale Torre di San Vittorio,"museo, galleria, raccolta",Carloforte,"Viale Osservatorio Astronomico, s.n.c.",39.13715209,8.311867795,5.0,+3907818589200//+3907818589207//+393331816535
Museo Geo-Mineralogico Naturalistico,"museo, galleria, raccolta",La Maddalena,"Borgo di Stagnali, Isola di Caprera",41.198126481,9.453760768,2.5,+393385940560
MIF - Museo dell'imprenditoria femminile Donna Francesca Sanna Sulis,"museo, galleria, raccolta",Muravera,"Via Guglielmo Marconi, 99",39.419568842,9.57724035,1.5,+393939023141
Museo del Sughero,"museo, galleria, raccolta",Calangianus,"Via San Francesco, 3",40.922316239,9.191277074,3.0,+39079662034//+393463693859
Ecomuseo delle Acque di Barbagia,"museo, galleria, raccolta",Sadali,"Via Grazia Deledda, s.n.c. - Infopoint",39.814577405,9.272619608,10.0,+393206253278
Museo Storico della Cava di Cala Francese,"museo, galleria, raccolta",La Maddalena,"Cala Francese, Isola di La Maddalena",41.220710522,9.378757671,5.0,+393385940560
Casa Devilla,"museo, galleria, raccolta",Aritzo,"Via Caserma, 1",39.957527153,9.196759126,2.0,+393898731853//+390784627200
Museo Mura,"museo, galleria, raccolta",Aritzo,"Pratz'e Iscola, 11",39.955466412,9.197740031,2.0,+393898731853//+390784627200
Giardino Sonoro - P.S. Museum,"museo, galleria, raccolta",San Sperate,"Via oriana Fallaci, s.n.c.",39.357057661,8.998463167,5.0,+393245875094
EMA - Ecomuseo del Mare e dell’Acqua,monumento o complesso monumentale,Sassari,"Viale Adua, s.n.c.",40.718685414,8.578112772,8.0,+393519359980
Archivio Digitale e installazione museale Rixe per la cultura Tabarchina,"museo, galleria, raccolta",Calasetta,"Via Umberto I, 61",39.109279973,8.371082433,3.0,+393473626183//+393288836251//+390781840717
Museo Civico Pedru Serra,"museo, galleria, raccolta",Sagama,"Via Regina Elena, 27",40.261402113,8.578036968,3.0,+393288789521
Centro di Documentazione e Studio sulla Sartiglia,"museo, galleria, raccolta",Oristano,"Via Eleonora, 15",39.903396999,8.591380843,2.0,+390783303159//+390783302481
